Координати,Вид кофа,Брой,Състояние,
42.7020619866339,23.3591921306909,1100,1,,
42.7016174900028,23.3587675205247,1100,5,,
42.7029562418931,23.3588059282376,1100,5,,
42.7092945278805,23.3720567836264,1100,1,,
42.7042362372646,23.3584179277278,1100,5,,
42.7192195399765,23.3602827731924,1100,1,ДОБРО,
42.7059555738334,23.3581611354452,1100,2,,
42.7073558270794,23.3619741465763,1100,2,,
42.7073791374203,23.3584233851334,1100,1,,
42.7067576808349,23.3586623390442,1100,3,,
42.7104066548359,23.3685155234742,1100,2,ДОБРО,
42.7067111121694,23.3598748928164,1100,1,,
42.7064399389256,23.360609413482,1100,1,,
42.7108229094561,23.3884506383192,1100,1,ДОБРО,
42.7062802407001,23.3601940482787,1100,1,,
42.7061523951638,23.35974589605,1100,1,,
42.7040243167888,23.3868902958003,1100,2,,
42.7060187147738,23.3671833781051,1100,3,,
42.7062591368036,23.3989831855195,1100,1,,
42.7064139543977,23.3681166867432,1100,4,,
42.6988334015253,23.3590156496423,1100,1,ДОБРО,
42.7125273385612,23.3696038405664,1100,4,,
42.700515487713,23.3590611946136,1100,3,,
42.6995030515159,23.36306562358,1100,4,,
42.6994333282846,23.3617232106206,1100,1,,
42.701800328329,23.3600623438539,1100,2,,
42.7048407694036,23.3671101374421,1100,5,,
42.7047543351469,23.3666392067281,1100,3,,
42.70344961221,23.3648146707042,1100,1,,
42.7030192431835,23.3643393152601,1100,3,,
42.7055801190989,23.3663559402918,1100,2,,
42.6955856921712,23.3636642824617,1100,1,ДОБРО,
42.7068536253355,23.38229751557,1100,2,,
42.7015070066516,23.352136101288,1100,4,,
42.7108298398001,23.3764568031788,1100,3,,
42.7034619829509,23.3521965676238,1100,3,,
42.7009154148412,23.3520027688178,1100,1,,
42.6991890820892,23.3520127458018,1100,1,,
42.6994823971431,23.3518244293297,1100,1,,
42.7098125913744,23.3795776838367,1100,3,,
42.6992749637667,23.3525120919684,1100,1,,
42.7136674067488,23.3797589511266,1100,2,,
42.6991970723526,23.3533325309766,1100,2,,
42.7126462599423,23.382410346934,1100,2,,
42.7040585129148,23.3532274388337,1100,3,,
42.7010361276428,23.3530581995701,1100,1,,
42.7044156997033,23.3869222824888,1100,2,ДОБРО,
42.7003915046676,23.3530103048525,1100,2,,
42.713527411179,23.3829369358707,1100,2,,
42.7055171707275,23.3504221815023,1100,2,,
42.7074692748415,23.3507202766356,1100,3,,
42.7161879634789,23.3783836024197,1100,2,,
42.7070339924398,23.3511588571685,1100,2,,
42.7149976714697,23.3792307651924,1100,1,,
42.7058269930504,23.3513617813595,1100,3,,
42.7098815494508,23.351799685643,1100,3,,
42.7097690406791,23.3521395012252,1100,2,,
42.709023459813,23.3520676634256,1100,3,,
42.7133316180588,23.3495580204452,1100,1,,
42.7127346042911,23.3487474024608,1100,2,,
42.7129517550776,23.3491079684668,1100,1,,
42.713514339724,23.3498141159673,1100,1,,
42.7012735895776,23.358817865266,1100,2,ДОБРО,
42.7138530444291,23.3518358271458,1100,2,,
42.7110774961241,23.3844040858612,1100,2,,
42.7043512329357,23.3511520669493,1100,3,,
42.7070513974661,23.3758315194991,1100,1,,
42.7033248992505,23.351183322225,1100,2,,
42.7087261266989,23.3767587061159,1100,5,,
42.7031059362128,23.3513210853715,1100,2,,
42.6995160167768,23.3677899062497,1100,1,,
42.7026712743985,23.350554818288,1100,1,,
42.7015042222127,23.3511519504325,1100,5,,
42.7111086810575,23.3785709959101,1100,1,,
42.7044151398182,23.3526235454705,1100,2,,
42.7117019479815,23.3753703390788,1100,2,,
42.7051489655632,23.352671115472,1100,2,,
42.7134955579271,23.3754982793541,1100,2,,
42.7053488668563,23.3521405389357,1100,2,,
42.70060001695,23.3514346964762,1100,3,,
42.699790683647,23.3506143349574,1100,2,,
42.6984867668165,23.3761561460713,1100,1,,
42.7009708853926,23.3492785446473,1100,1,,
42.7133476882279,23.3811313235465,1100,2,,
42.6995877193222,23.3512244009059,1100,1,ДОБРО,
42.7099648906449,23.3626968526094,1100,4,,
42.7151726627285,23.3612973680451,1100,1,,
42.7148653820269,23.3611071728128,1100,2,,
42.7037764279043,23.3832953961184,1100,2,ДОБРО,
42.7134293496239,23.3844647383094,1100,2,,
42.7141498066613,23.3613660083421,1100,1,,
42.71537367793,23.3604303112829,1100,1,ДОБРО,
42.7161169963198,23.3593244622506,1100,2,,
42.7078277089597,23.3547038141246,1100,1,ДОБРО,
42.7147000887459,23.3584831153524,1100,2,,
42.7128142530469,23.364602403847,1100,1,ДОБРО,
